order_item_id,order_id,global_product_id,quantity,unit_price,item_total,sku_info
243129,TAOBAO20250604161483,P-TAOBAO-970116,1,791.50,791.50,{}
243130,TAOBAO20250604161483,P-TAOBAO-682434,1,3772.15,3772.15,{}
243131,TAOBAO20250421359674,P-TAOBAO-560781,1,814.77,814.77,{}
243132,TAOBAO20250421359674,P-TAOBAO-826638,1,819.18,819.18,{}
243133,TAOBAO20250421359674,P-TAOBAO-404378,1,1529.69,1529.69,{}
243134,TAOBAO20250114912287,P-TAOBAO-403719,1,1580.20,1580.20,{}
243135,TAOBAO20250114912287,P-TAOBAO-710135,1,2731.32,2731.32,{}
243136,TAOBAO20261002193084,P-TAOBAO-279529,1,1827.92,1827.92,{}
243137,TAOBAO20261002193084,P-TAOBAO-328656,1,1142.50,1142.50,{}
243138,TAOBAO20261002193084,P-TAOBAO-415994,1,1578.06,1578.06,{}
243139,TAOBAO20250311716898,P-TAOBAO-403719,1,1020.92,1020.92,{}
243140,TAOBAO20250311716898,P-TAOBAO-188514,1,2339.20,2339.20,{}
243141,TAOBAO20261217187812,P-TAOBAO-450675,1,815.06,815.06,{}
243142,TAOBAO20261217187812,P-TAOBAO-501245,1,1516.25,1516.25,{}
243143,TAOBAO20250528724093,P-TAOBAO-659368,1,1117.98,1117.98,{}
243144,TAOBAO20250528724093,P-TAOBAO-433412,1,2089.41,2089.41,{}
243145,TAOBAO20260223375794,P-TAOBAO-493263,1,648.26,648.26,{}
243146,TAOBAO20260223375794,P-TAOBAO-434902,1,989.84,989.84,{}
243147,TAOBAO20260908769886,P-TAOBAO-287660,1,693.80,693.80,{}
243148,TAOBAO20260908769886,P-TAOBAO-188514,1,1388.12,1388.12,{}
243149,TAOBAO20261003426567,P-TAOBAO-965495,1,1361.74,1361.74,{}
243150,TAOBAO20261003426567,P-TAOBAO-873213,1,468.87,468.87,{}
243151,TAOBAO20261003426567,P-TAOBAO-501245,1,1171.49,1171.49,{}
243152,TAOBAO20260509512247,P-TAOBAO-316598,1,300.78,300.78,{}
243153,TAOBAO20260509512247,P-TAOBAO-873213,1,474.78,474.78,{}
243154,TAOBAO20260322389213,P-TAOBAO-967964,1,364.31,364.31,{}
243155,TAOBAO20260322389213,P-TAOBAO-560781,1,1316.03,1316.03,{}
243156,TAOBAO20260109552319,P-TAOBAO-403719,1,1023.85,1023.85,{}
243157,TAOBAO20260109552319,P-TAOBAO-900035,1,2298.71,2298.71,{}
243158,TAOBAO20250918323061,P-TAOBAO-527470,1,308.66,308.66,{}
243159,TAOBAO20250918323061,P-TAOBAO-434902,1,840.10,840.10,{}
243160,TAOBAO20250723130152,P-TAOBAO-827058,1,151.28,151.28,{}
243161,TAOBAO20250723130152,P-TAOBAO-450797,1,376.16,376.16,{}
243162,TAOBAO20250606498933,P-TAOBAO-907124,1,828.24,828.24,{}
243163,TAOBAO20250606498933,P-TAOBAO-153033,1,3948.80,3948.80,{}
243164,TAOBAO20261226196456,P-TAOBAO-950651,1,114.26,114.26,{}
243165,TAOBAO20261226196456,P-TAOBAO-527470,1,202.82,202.82,{}
243166,TAOBAO20260717565542,P-TAOBAO-377630,1,562.84,562.84,{}
243167,TAOBAO20260717565542,P-TAOBAO-682170,1,187.37,187.37,{}
243168,TAOBAO20260717565542,P-TAOBAO-549776,1,511.58,511.58,{}
243169,TAOBAO20250220569790,P-TAOBAO-377630,1,1259.33,1259.33,{}
243170,TAOBAO20250220569790,P-TAOBAO-970116,1,1421.37,1421.37,{}
243171,TAOBAO20250220569790,P-TAOBAO-501245,1,1526.26,1526.26,{}
243172,TAOBAO20250502350602,P-TAOBAO-970116,1,507.72,507.72,{}
243173,TAOBAO20250502350602,P-TAOBAO-316598,1,689.36,689.36,{}
243174,TAOBAO20250502350602,P-TAOBAO-631658,1,666.86,666.86,{}
243175,TAOBAO20250615792619,P-TAOBAO-220347,1,1162.39,1162.39,{}
243176,TAOBAO20250615792619,P-TAOBAO-527470,1,1851.69,1851.69,{}
243177,TAOBAO20260911380624,P-TAOBAO-631658,1,1255.34,1255.34,{}
243178,TAOBAO20260911380624,P-TAOBAO-741406,1,3106.51,3106.51,{}
243179,TAOBAO20251201802205,P-TAOBAO-560781,1,1939.67,1939.67,{}
243180,TAOBAO20251201802205,P-TAOBAO-700421,1,601.03,601.03,{}
243181,TAOBAO20251201802205,P-TAOBAO-646540,1,2196.84,2196.84,{}
243182,TAOBAO20250301504761,P-TAOBAO-305281,1,1909.06,1909.06,{}
243183,TAOBAO20250301504761,P-TAOBAO-448846,1,1851.23,1851.23,{}
243184,TAOBAO20250608767458,P-TAOBAO-527470,1,356.86,356.86,{}
243185,TAOBAO20250608767458,P-TAOBAO-227301,1,373.50,373.50,{}
243186,TAOBAO20250702901382,P-TAOBAO-873213,1,1781.27,1781.27,{}
