global_product_id,platform_product_id,platform,product_name,category,subcategory,price,brand,stock_status,tags
P-DOUYIN-100329,douyin_9420150,douyin,ZARA 运动户外 53,母婴用品,其他,3436.68,小米,有货,
P-DOUYIN-101202,douyin_5605061,douyin,耐克 运动户外 38,家居用品,其他,3902.20,格力,有货,
P-DOUYIN-103024,douyin_9299269,douyin,三星 电子产品 42,电子产品,其他,1056.82,Apple,有货,
P-DOUYIN-103124,douyin_4065161,douyin,优衣库 服装鞋帽 61,图书文具,其他,2147.40,格力,有货,
P-DOUYIN-103867,douyin_8850232,douyin,Apple 食品饮料 13,食品饮料,其他,2997.07,Apple,有货,
P-DOUYIN-104298,douyin_6551391,douyin,ZARA 图书文具 50,食品饮料,其他,197.43,ZARA,有货,
P-DOUYIN-105738,douyin_8068667,douyin,华为 图书文具 20,电子产品,其他,2949.35,三星,有货,
P-DOUYIN-106213,douyin_8057871,douyin,华为 母婴用品 54,电子产品,其他,4201.96,小米,有货,
P-DOUYIN-107960,douyin_5905219,douyin,Apple 家居用品 3,家居用品,其他,3500.70,小米,有货,
P-DOUYIN-109883,douyin_8829077,douyin,耐克 运动户外 38,运动户外,其他,2156.48,小米,有货,
P-DOUYIN-112775,douyin_4255115,douyin,优衣库 图书文具 94,图书文具,其他,4075.76,华为,有货,
P-DOUYIN-113051,douyin_6498327,douyin,格力 图书文具 76,服装鞋帽,其他,2881.16,海尔,有货,
P-DOUYIN-113601,douyin_7526235,douyin,阿迪达斯 运动户外 15,服装鞋帽,其他,646.53,小米,有货,
P-DOUYIN-114925,douyin_7337359,douyin,三星 图书文具 72,电子产品,其他,2885.94,阿迪达斯,有货,
P-DOUYIN-115135,douyin_5836165,douyin,海尔 图书文具 16,家居用品,其他,4485.17,耐克,有货,
P-DOUYIN-115336,douyin_5514970,douyin,优衣库 食品饮料 91,运动户外,其他,2229.58,华为,有货,
P-DOUYIN-116638,douyin_9007039,douyin,优衣库 美妆个护 17,图书文具,其他,4340.91,优衣库,有货,
P-DOUYIN-116820,douyin_7081404,douyin,小米 运动户外 5,美妆个护,其他,2066.86,三星,有货,
P-DOUYIN-117394,douyin_5275013,douyin,优衣库 服装鞋帽 29,母婴用品,其他,623.52,海尔,有货,
P-DOUYIN-117768,douyin_3847637,douyin,Apple 电子产品 76,图书文具,其他,347.24,小米,有货,
P-DOUYIN-118111,douyin_3479795,douyin,华为 服装鞋帽 67,美妆个护,其他,1408.67,优衣库,有货,
P-DOUYIN-118460,douyin_9232539,douyin,格力 图书文具 19,运动户外,其他,264.89,ZARA,有货,
P-DOUYIN-119058,douyin_6816648,douyin,海尔 图书文具 2,食品饮料,其他,755.04,Apple,有货,
P-DOUYIN-119240,douyin_4160548,douyin,优衣库 家居用品 7,图书文具,其他,2557.13,阿迪达斯,有货,
P-DOUYIN-119632,douyin_7053595,douyin,格力 图书文具 64,电子产品,其他,1252.98,ZARA,有货,
P-DOUYIN-120707,douyin_5250150,douyin,耐克 运动户外 29,母婴用品,其他,3346.62,华为,有货,
P-DOUYIN-122097,douyin_2919038,douyin,格力 服装鞋帽 72,电子产品,其他,4127.15,三星,有货,
P-DOUYIN-122214,douyin_2472229,douyin,格力 食品饮料 37,运动户外,其他,315.76,阿迪达斯,有货,
P-DOUYIN-123082,douyin_9834428,douyin,耐克 家居用品 97,服装鞋帽,其他,3061.88,格力,有货,
P-DOUYIN-124268,douyin_3989302,douyin,华为 运动户外 12,母婴用品,其他,587.98,海尔,有货,
P-DOUYIN-124584,douyin_8578858,douyin,耐克 美妆个护 82,运动户外,其他,1565.39,ZARA,有货,
P-DOUYIN-125486,douyin_1268229,douyin,ZARA 食品饮料 77,电子产品,其他,4309.80,ZARA,有货,
P-DOUYIN-126053,douyin_3621614,douyin,格力 服装鞋帽 56,母婴用品,其他,1087.72,优衣库,有货,
P-DOUYIN-126566,douyin_7803726,douyin,格力 家居用品 74,母婴用品,其他,557.78,优衣库,有货,
P-DOUYIN-126800,douyin_9948165,douyin,优衣库 图书文具 56,美妆个护,其他,3084.23,Apple,有货,
P-DOUYIN-127505,douyin_4996373,douyin,耐克 美妆个护 72,服装鞋帽,其他,328.48,优衣库,有货,
P-DOUYIN-127526,douyin_2412675,douyin,三星 母婴用品 4,图书文具,其他,227.15,海尔,有货,
P-DOUYIN-127874,douyin_9741848,douyin,ZARA 运动户外 80,图书文具,其他,4501.47,优衣库,有货,
P-DOUYIN-129398,douyin_7379545,douyin,三星 运动户外 65,运动户外,其他,2616.20,阿迪达斯,有货,
P-DOUYIN-130960,douyin_1833634,douyin,耐克 电子产品 41,图书文具,其他,342.68,耐克,有货,
P-DOUYIN-131134,douyin_9042478,douyin,华为 电子产品 76,电子产品,其他,1200.66,华为,有货,
P-DOUYIN-131240,douyin_2557328,douyin,优衣库 食品饮料 1,家居用品,其他,4379.45,Apple,有货,
P-DOUYIN-131319,douyin_9384006,douyin,三星 食品饮料 41,运动户外,其他,3860.03,ZARA,有货,
P-DOUYIN-133847,douyin_6666107,douyin,优衣库 母婴用品 37,母婴用品,其他,4071.79,三星,有货,
P-DOUYIN-134539,douyin_8766876,douyin,海尔 美妆个护 12,食品饮料,其他,1292.65,海尔,有货,
P-DOUYIN-134816,douyin_9866689,douyin,阿迪达斯 母婴用品 11,母婴用品,其他,3817.75,耐克,有货,
P-DOUYIN-135138,douyin_4056146,douyin,小米 图书文具 63,服装鞋帽,其他,3380.91,海尔,有货,
P-DOUYIN-135216,douyin_6606047,douyin,三星 图书文具 16,美妆个护,其他,4386.59,华为,有货,
P-DOUYIN-135438,douyin_1076788,douyin,ZARA 食品饮料 16,食品饮料,其他,3871.31,小米,有货,
P-DOUYIN-136322,douyin_4343951,douyin,耐克 母婴用品 79,服装鞋帽,其他,1094.75,格力,有货,
P-DOUYIN-136378,douyin_5980322,douyin,华为 母婴用品 76,运动户外,其他,4757.42,格力,有货,
P-DOUYIN-139181,douyin_2615995,douyin,Apple 母婴用品 89,电子产品,其他,686.14,华为,有货,
P-DOUYIN-139831,douyin_1274532,douyin,优衣库 运动户外 19,运动户外,其他,1142.81,Apple,有货,
P-DOUYIN-143026,douyin_7493803,douyin,优衣库 图书文具 8,食品饮料,其他,3880.50,Apple,有货,
P-DOUYIN-143170,douyin_2409395,douyin,三星 电子产品 68,母婴用品,其他,3591.37,阿迪达斯,有货,
P-DOUYIN-143882,douyin_5753026,douyin,Apple 图书文具 23,图书文具,其他,4763.03,ZARA,有货,
P-DOUYIN-146570,douyin_7337463,douyin,耐克 食品饮料 61,图书文具,其他,628.65,小米,有货,
P-DOUYIN-146728,douyin_2617715,douyin,Apple 食品饮料 47,食品饮料,其他,1088.16,小米,有货,
P-DOUYIN-148006,douyin_4498085,douyin,优衣库 美妆个护 10,食品饮料,其他,81.04,Apple,有货,
P-DOUYIN-148495,douyin_4602207,douyin,三星 图书文具 54,电子产品,其他,1614.14,格力,有货,
