category,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
图书文具,2025-01,17,12,31,19,8,11,7,0,59314.71,51,59,0.5483870967741935,1.1176470588235294,0.42105263157894735,0.3870967741935484,1.375,0.22580645161290322,1163.0335294117647
图书文具,2025-02,14,24,35,13,14,8,9,0,52861.54,50,55,0.4,0.9285714285714286,1.0769230769230769,0.6857142857142857,0.5714285714285714,0.2571428571428571,1057.2308
图书文具,2025-03,18,17,24,15,14,8,14,0,56407.58,57,64,0.75,0.8333333333333334,0.9333333333333333,0.7083333333333334,0.5714285714285714,0.5833333333333334,989.6066666666667
图书文具,2025-04,18,16,28,16,5,9,14,0,78109.05,63,74,0.6428571428571429,0.8888888888888888,0.3125,0.5714285714285714,1.8,0.5,1239.8261904761905
图书文具,2025-05,30,16,32,17,9,7,14,0,56769.31,56,58,0.9375,0.5666666666666667,0.5294117647058824,0.5,0.7777777777777778,0.4375,1013.7376785714285
图书文具,2025-06,22,13,22,11,13,7,8,0,60336.33,53,64,1.0,0.5,1.1818181818181819,0.5909090909090909,0.5384615384615384,0.36363636363636365,1138.421320754717
图书文具,2025-07,20,19,31,12,8,13,9,0,45103.24,43,50,0.6451612903225806,0.6,0.6666666666666666,0.6129032258064516,1.625,0.2903225806451613,1048.912558139535
图书文具,2025-08,24,17,30,15,10,13,8,0,42390.88,41,44,0.8,0.625,0.6666666666666666,0.5666666666666667,1.3,0.26666666666666666,1033.9239024390242
图书文具,2025-09,30,17,28,15,17,12,7,0,47313.83,54,58,1.0714285714285714,0.5,1.1333333333333333,0.6071428571428571,0.7058823529411765,0.25,876.182037037037
图书文具,2025-10,22,14,33,21,16,8,13,0,84250.46,59,62,0.6666666666666666,0.9545454545454546,0.7619047619047619,0.42424242424242425,0.5,0.3939393939393939,1427.973898305085
图书文具,2025-11,24,12,34,14,15,11,11,0,38863.99,48,53,0.7058823529411765,0.5833333333333334,1.0714285714285714,0.35294117647058826,0.7333333333333333,0.3235294117647059,809.6664583333333
图书文具,2025-12,24,9,27,10,16,12,9,0,61373.96,56,61,0.8888888888888888,0.4166666666666667,1.6,0.3333333333333333,0.75,0.3333333333333333,1095.9635714285714
图书文具,2026-01,22,13,35,12,11,10,10,0,69606.98,66,73,0.6285714285714286,0.5454545454545454,0.9166666666666666,0.37142857142857144,0.9090909090909091,0.2857142857142857,1054.651212121212
图书文具,2026-02,21,16,31,17,26,14,11,0,42318.26,44,46,0.6774193548387096,0.8095238095238095,1.5294117647058822,0.5161290322580645,0.5384615384615384,0.3548387096774194,961.7786363636365
图书文具,2026-03,17,12,24,11,19,10,8,0,63198.48,46,51,0.7083333333333334,0.6470588235294118,1.7272727272727273,0.5,0.5263157894736842,0.3333333333333333,1373.88
图书文具,2026-04,24,17,31,13,15,18,8,0,73201.92,64,72,0.7741935483870968,0.5416666666666666,1.1538461538461537,0.5483870967741935,1.2,0.25806451612903225,1143.78
图书文具,2026-05,15,20,22,11,12,14,7,0,43597.77,42,46,0.6818181818181818,0.7333333333333333,1.0909090909090908,0.9090909090909091,1.1666666666666667,0.3181818181818182,1038.0421428571428
图书文具,2026-06,15,20,27,13,13,8,5,0,67960.91,63,70,0.5555555555555556,0.8666666666666667,1.0,0.7407407407407407,0.6153846153846154,0.18518518518518517,1078.7446031746033
图书文具,2026-07,22,16,22,15,12,11,10,0,56129.05,43,48,1.0,0.6818181818181818,0.8,0.7272727272727273,0.9166666666666666,0.45454545454545453,1305.3267441860467
图书文具,2026-08,28,21,35,15,13,12,11,0,66513.76,62,73,0.8,0.5357142857142857,0.8666666666666667,0.6,0.9230769230769231,0.3142857142857143,1072.8025806451612
图书文具,2026-09,14,15,30,17,9,10,9,0,67716.33,61,69,0.4666666666666667,1.2142857142857142,0.5294117647058824,0.5,1.1111111111111112,0.3,1110.1037704918033
图书文具,2026-10,23,18,28,14,14,13,12,0,69662.72,55,60,0.8214285714285714,0.6086956521739131,1.0,0.6428571428571429,0.9285714285714286,0.42857142857142855,1266.5949090909091
图书文具,2026-11,14,17,33,12,5,9,7,0,62000.44,50,56,0.42424242424242425,0.8571428571428571,0.4166666666666667,0.5151515151515151,1.8,0.21212121212121213,1240.0088
图书文具,2026-12,17,20,29,14,10,15,6,0,67781.61,54,62,0.5862068965517241,0.8235294117647058,0.7142857142857143,0.6896551724137931,1.5,0.20689655172413793,1255.215
