city,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
上海,2025-01,7,13,15,15,10,4,9,0,45745.47,17,42,0.4666666666666667,2.142857142857143,0.6666666666666666,0.8666666666666667,0.4,0.6,2690.91
上海,2025-02,15,11,17,13,12,9,16,0,38819.63,15,37,0.8823529411764706,0.8666666666666667,0.9230769230769231,0.6470588235294118,0.75,0.9411764705882353,2587.9753333333333
上海,2025-03,20,18,21,11,16,7,10,0,35075.85,12,31,0.9523809523809523,0.55,1.4545454545454546,0.8571428571428571,0.4375,0.47619047619047616,2922.9874999999997
上海,2025-04,21,16,22,10,9,12,3,0,42888.01,20,51,0.9545454545454546,0.47619047619047616,0.9,0.7272727272727273,1.3333333333333333,0.13636363636363635,2144.4005
上海,2025-05,13,13,24,8,8,9,7,0,48528.7,20,52,0.5416666666666666,0.6153846153846154,1.0,0.5416666666666666,1.125,0.2916666666666667,2426.435
上海,2025-06,14,18,18,13,9,8,9,0,57484.94,20,51,0.7777777777777778,0.9285714285714286,0.6923076923076923,1.0,0.8888888888888888,0.5,2874.2470000000003
上海,2025-07,24,13,30,14,12,6,7,0,23228.54,11,27,0.8,0.5833333333333334,0.8571428571428571,0.43333333333333335,0.5,0.23333333333333334,2111.685454545455
上海,2025-08,15,13,19,12,11,15,10,0,37651.3,15,41,0.7894736842105263,0.8,0.9166666666666666,0.6842105263157895,1.3636363636363635,0.5263157894736842,2510.086666666667
上海,2025-09,17,13,32,13,13,8,7,0,31796.36,17,41,0.53125,0.7647058823529411,1.0,0.40625,0.6153846153846154,0.21875,1870.374117647059
上海,2025-10,14,11,22,14,12,8,11,0,49436.130000000005,15,37,0.6363636363636364,1.0,0.8571428571428571,0.5,0.6666666666666666,0.5,3295.742
上海,2025-11,17,11,14,6,10,12,15,0,43027.07,21,54,1.2142857142857142,0.35294117647058826,1.6666666666666667,0.7857142857142857,1.2,1.0714285714285714,2048.908095238095
上海,2025-12,9,14,11,8,15,4,6,0,39307.15,14,35,0.8181818181818182,0.8888888888888888,1.875,1.2727272727272727,0.26666666666666666,0.5454545454545454,2807.6535714285715
上海,2026-01,12,16,13,13,10,11,12,0,42101.75,20,50,0.9230769230769231,1.0833333333333333,0.7692307692307693,1.2307692307692308,1.1,0.9230769230769231,2105.0875
上海,2026-02,20,17,28,12,12,13,10,0,53270.03,20,46,0.7142857142857143,0.6,1.0,0.6071428571428571,1.0833333333333333,0.35714285714285715,2663.5015
上海,2026-03,23,14,25,17,13,5,9,0,18871.01,7,17,0.92,0.7391304347826086,0.7647058823529411,0.56,0.38461538461538464,0.36,2695.8585714285714
上海,2026-04,19,15,21,12,14,13,10,0,47191.69,18,44,0.9047619047619048,0.631578947368421,1.1666666666666667,0.7142857142857143,0.9285714285714286,0.47619047619047616,2621.7605555555556
上海,2026-05,17,14,15,4,8,11,7,0,42913.76,15,42,1.1333333333333333,0.23529411764705882,2.0,0.9333333333333333,1.375,0.4666666666666667,2860.9173333333333
上海,2026-06,16,16,21,13,10,10,17,0,47152.53,20,47,0.7619047619047619,0.8125,0.7692307692307693,0.7619047619047619,1.0,0.8095238095238095,2357.6265
上海,2026-07,14,17,19,17,5,8,13,0,63749.87,23,57,0.7368421052631579,1.2142857142857142,0.29411764705882354,0.8947368421052632,1.6,0.6842105263157895,2771.7334782608696
上海,2026-08,13,15,23,13,7,3,10,0,44389.45,17,43,0.5652173913043478,1.0,0.5384615384615384,0.6521739130434783,0.42857142857142855,0.43478260869565216,2611.1441176470585
上海,2026-09,17,11,20,15,5,12,10,0,61680.23,22,54,0.85,0.8823529411764706,0.3333333333333333,0.55,2.4,0.5,2803.646818181818
上海,2026-10,8,8,19,8,12,6,11,0,27632.24,12,32,0.42105263157894735,1.0,1.5,0.42105263157894735,0.5,0.5789473684210527,2302.686666666667
上海,2026-11,19,15,24,9,7,7,12,0,26595.13,10,24,0.7916666666666666,0.47368421052631576,0.7777777777777778,0.625,1.0,0.5,2659.513
上海,2026-12,17,9,23,9,8,13,5,0,27756.3,14,33,0.7391304347826086,0.5294117647058824,0.8888888888888888,0.391304347826087,1.625,0.21739130434782608,1982.5928571428572
北京,2025-01,21,22,27,17,10,9,7,0,61818.44,25,60,0.7777777777777778,0.8095238095238095,0.5882352941176471,0.8148148148148148,0.9,0.25925925925925924,2472.7376
北京,2025-02,18,19,26,13,11,7,10,0,65966.34,25,64,0.6923076923076923,0.7222222222222222,0.8461538461538461,0.7307692307692307,0.6363636363636364,0.38461538461538464,2638.6535999999996
北京,2025-03,11,16,25,15,12,10,11,0,41736.69,19,50,0.44,1.3636363636363635,0.8,0.64,0.8333333333333334,0.44,2196.6678947368423
北京,2025-04,18,11,26,17,10,8,8,0,79501.93,30,73,0.6923076923076923,0.9444444444444444,0.5882352941176471,0.4230769230769231,0.8,0.3076923076923077,2650.0643333333333
北京,2025-05,22,15,20,16,5,9,4,0,33860.15,12,28,1.1,0.7272727272727273,0.3125,0.75,1.8,0.2,2821.679166666667
北京,2025-06,19,15,29,17,11,7,8,0,61809.84,22,59,0.6551724137931034,0.8947368421052632,0.6470588235294118,0.5172413793103449,0.6363636363636364,0.27586206896551724,2809.538181818182
北京,2025-07,29,15,27,15,16,14,8,0,52906.8,22,57,1.0740740740740742,0.5172413793103449,1.0666666666666667,0.5555555555555556,0.875,0.2962962962962963,2404.8545454545456
北京,2025-08,15,17,20,12,10,10,6,0,26456.45,9,22,0.75,0.8,0.8333333333333334,0.85,1.0,0.3,2939.605555555556
北京,2025-09,14,5,17,10,9,11,13,0,24685.92,15,35,0.8235294117647058,0.7142857142857143,0.9,0.29411764705882354,1.2222222222222223,0.7647058823529411,1645.7279999999998
北京,2025-10,21,17,26,9,10,8,10,0,52918.52,18,47,0.8076923076923077,0.42857142857142855,1.1111111111111112,0.6538461538461539,0.8,0.38461538461538464,2939.9177777777777
北京,2025-11,18,17,20,14,15,7,9,0,64402.32,25,68,0.9,0.7777777777777778,1.0714285714285714,0.85,0.4666666666666667,0.45,2576.0928
北京,2025-12,21,14,25,9,9,6,8,0,54982.13,21,55,0.84,0.42857142857142855,1.0,0.56,0.6666666666666666,0.32,2618.1966666666667
北京,2026-01,16,16,21,7,14,10,12,0,61103.04,23,57,0.7619047619047619,0.4375,2.0,0.7619047619047619,0.7142857142857143,0.5714285714285714,2656.6539130434785
北京,2026-02,15,15,31,22,15,7,10,0,52444.34,18,46,0.4838709677419355,1.4666666666666666,0.6818181818181818,0.4838709677419355,0.4666666666666667,0.3225806451612903,2913.5744444444445
北京,2026-03,13,7,15,16,11,14,9,0,39963.95,17,40,0.8666666666666667,1.2307692307692308,0.6875,0.4666666666666667,1.2727272727272727,0.6,2350.820588235294
北京,2026-04,12,10,25,11,6,10,11,0,45849.33,19,49,0.48,0.9166666666666666,0.5454545454545454,0.4,1.6666666666666667,0.44,2413.1226315789477
北京,2026-05,17,14,19,16,7,14,6,0,26205.72,9,22,0.8947368421052632,0.9411764705882353,0.4375,0.7368421052631579,2.0,0.3157894736842105,2911.746666666667
北京,2026-06,13,14,25,11,18,10,8,0,47842.33,20,50,0.52,0.8461538461538461,1.6363636363636365,0.56,0.5555555555555556,0.32,2392.1165
北京,2026-07,24,15,22,13,10,6,14,0,37327.89,14,35,1.0909090909090908,0.5416666666666666,0.7692307692307693,0.6818181818181818,0.6,0.6363636363636364,2666.277857142857
北京,2026-08,20,12,21,12,14,11,8,0,64954.05,20,50,0.9523809523809523,0.6,1.1666666666666667,0.5714285714285714,0.7857142857142857,0.38095238095238093,3247.7025000000003
北京,2026-09,18,17,28,10,18,7,5,0,51923.770000000004,18,46,0.6428571428571429,0.5555555555555556,1.8,0.6071428571428571,0.3888888888888889,0.17857142857142858,2884.653888888889
北京,2026-10,26,21,29,15,10,8,10,0,47402.41,18,45,0.896551724137931,0.5769230769230769,0.6666666666666666,0.7241379310344828,0.8,0.3448275862068966,2633.4672222222225
北京,2026-11,20,19,29,16,9,13,7,0,42329.04,17,43,0.6896551724137931,0.8,0.5625,0.6551724137931034,1.4444444444444444,0.2413793103448276,2489.9435294117648
北京,2026-12,17,14,17,16,11,6,5,0,50859.74,22,56,1.0,0.9411764705882353,0.6875,0.8235294117647058,0.5454545454545454,0.29411764705882354,2311.8063636363636
南京,2025-01,10,9,16,11,6,9,8,0,41400.270000000004,15,37,0.625,1.1,0.5454545454545454,0.5625,1.5,0.5,2760.0180000000005
南京,2025-02,11,8,15,6,8,10,6,0,58014.09,24,61,0.7333333333333333,0.5454545454545454,1.3333333333333333,0.5333333333333333,1.25,0.4,2417.25375
南京,2025-03,11,13,17,6,13,13,5,0,39167.229999999996,20,53,0.6470588235294118,0.5454545454545454,2.1666666666666665,0.7647058823529411,1.0,0.29411764705882354,1958.3614999999998
南京,2025-04,18,9,19,12,9,4,10,0,53435.95,20,50,0.9473684210526315,0.6666666666666666,0.75,0.47368421052631576,0.4444444444444444,0.5263157894736842,2671.7974999999997
南京,2025-05,13,13,20,10,6,13,11,0,48998.78,18,43,0.65,0.7692307692307693,0.6,0.65,2.1666666666666665,0.55,2722.1544444444444
南京,2025-06,19,14,22,10,14,8,5,0,40713.47,20,51,0.8636363636363636,0.5263157894736842,1.4,0.6363636363636364,0.5714285714285714,0.22727272727272727,2035.6735
南京,2025-07,21,18,20,17,9,6,14,0,64451.71,21,55,1.05,0.8095238095238095,0.5294117647058824,0.9,0.6666666666666666,0.7,3069.1290476190475
南京,2025-08,19,10,19,6,7,5,8,0,17959.16,8,21,1.0,0.3157894736842105,1.1666666666666667,0.5263157894736842,0.7142857142857143,0.42105263157894735,2244.895
南京,2025-09,17,9,15,7,6,8,7,0,86841.67,32,76,1.1333333333333333,0.4117647058823529,0.8571428571428571,0.6,1.3333333333333333,0.4666666666666667,2713.8021875
南京,2025-10,16,8,19,10,11,8,11,0,37463.68,16,37,0.8421052631578947,0.625,1.1,0.42105263157894735,0.7272727272727273,0.5789473684210527,2341.48
南京,2025-11,18,9,23,12,13,8,5,0,15611.810000000001,6,17,0.782608695652174,0.6666666666666666,1.0833333333333333,0.391304347826087,0.6153846153846154,0.21739130434782608,2601.9683333333337
南京,2025-12,16,15,25,10,9,7,7,0,49081.4,17,46,0.64,0.625,0.9,0.6,0.7777777777777778,0.28,2887.141176470588
