date,exposures,carts,behavior_orders,pays,favorites,reviews,shares,active_users,sessions,gmv,orders,buyers,aov,cart_rate,order_rate,pay_rate,favorite_rate,share_rate,review_rate,period
2025-01-01,8,7,3,4,5,5,3,28,35,11626.31,5.0,5.0,2325.2619999999997,0.875,0.42857142857142855,1.3333333333333333,0.625,0.375,1.25,previous_period
2025-01-02,5,5,6,3,6,0,3,20,28,0.0,0.0,0.0,,1.0,1.2,0.5,1.2,0.6,0.0,previous_period
2025-01-03,9,5,2,5,3,3,2,26,29,20332.82,6.0,6.0,3388.8033333333333,0.5555555555555556,0.4,2.5,0.3333333333333333,0.2222222222222222,0.6,previous_period
2025-01-04,5,6,3,4,4,3,1,17,26,9940.34,4.0,4.0,2485.085,1.2,0.5,1.3333333333333333,0.8,0.2,0.75,previous_period
2025-01-05,11,8,5,1,6,3,2,27,36,7594.04,2.0,2.0,3797.02,0.7272727272727273,0.625,0.2,0.5454545454545454,0.18181818181818182,3.0,previous_period
2025-01-06,8,6,5,4,7,4,1,24,35,20096.12,5.0,5.0,4019.2239999999997,0.75,0.8333333333333334,0.8,0.875,0.125,1.0,previous_period
2025-01-07,4,5,3,1,3,4,0,16,20,7259.929999999999,4.0,4.0,1814.9824999999998,1.25,0.6,0.3333333333333333,0.75,0.0,4.0,previous_period
2025-01-08,6,4,9,2,4,2,3,24,30,4283.97,3.0,3.0,1427.99,0.6666666666666666,2.25,0.2222222222222222,0.6666666666666666,0.5,1.0,previous_period
2025-01-09,4,4,3,2,5,2,5,14,25,11388.03,4.0,4.0,2847.0075,1.0,0.75,0.6666666666666666,1.25,1.25,1.0,previous_period
2025-01-10,6,5,5,1,2,2,2,23,23,11874.59,5.0,5.0,2374.918,0.8333333333333334,1.0,0.2,0.3333333333333333,0.3333333333333333,2.0,previous_period
2025-01-11,8,6,6,6,8,6,2,25,42,2876.55,2.0,2.0,1438.275,0.75,1.0,1.0,1.0,0.25,1.0,previous_period
2025-01-12,14,7,5,7,10,2,2,26,47,13265.72,4.0,4.0,3316.43,0.5,0.7142857142857143,1.4,0.7142857142857143,0.14285714285714285,0.2857142857142857,previous_period
2025-01-13,10,9,7,2,10,2,2,25,42,15450.880000000001,5.0,5.0,3090.1760000000004,0.9,0.7777777777777778,0.2857142857142857,1.0,0.2,1.0,previous_period
2025-01-14,9,6,6,5,6,1,1,22,34,13322.14,5.0,5.0,2664.428,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.1111111111111111,0.2,previous_period
2025-01-15,5,6,4,5,5,3,7,26,35,8319.29,5.0,5.0,1663.8580000000002,1.2,0.6666666666666666,1.25,1.0,1.4,0.6,previous_period
2025-01-16,8,5,3,5,3,3,2,22,29,4177.639999999999,3.0,3.0,1392.5466666666664,0.625,0.6,1.6666666666666667,0.375,0.25,0.6,previous_period
2025-01-17,12,8,7,4,8,5,0,23,44,14959.470000000001,6.0,6.0,2493.2450000000003,0.6666666666666666,0.875,0.5714285714285714,0.6666666666666666,0.0,1.25,previous_period
2025-01-18,4,5,3,3,4,0,2,15,21,5442.41,2.0,2.0,2721.205,1.25,0.6,1.0,1.0,0.5,0.0,previous_period
2025-01-19,8,6,6,5,4,3,4,22,36,1507.11,1.0,1.0,1507.11,0.75,1.0,0.8333333333333334,0.5,0.5,0.6,previous_period
2025-01-20,5,4,5,3,4,7,4,26,32,2414.95,1.0,1.0,2414.95,0.8,1.25,0.6,0.8,0.8,2.3333333333333335,previous_period
2025-01-21,8,5,4,2,4,1,4,26,28,9520.849999999999,2.0,2.0,4760.424999999999,0.625,0.8,0.5,0.5,0.5,0.5,previous_period
2025-01-22,6,8,4,1,5,2,4,24,30,3007.1,2.0,2.0,1503.55,1.3333333333333333,0.5,0.25,0.8333333333333334,0.6666666666666666,2.0,previous_period
2025-01-23,12,9,3,4,7,2,4,29,41,12099.77,5.0,5.0,2419.954,0.75,0.3333333333333333,1.3333333333333333,0.5833333333333334,0.3333333333333333,0.5,previous_period
2025-01-24,11,5,3,3,3,2,4,23,31,14389.18,5.0,5.0,2877.8360000000002,0.45454545454545453,0.6,1.0,0.2727272727272727,0.36363636363636365,0.6666666666666666,previous_period
2025-01-25,6,3,6,2,4,2,3,19,26,1644.8899999999999,2.0,2.0,822.4449999999999,0.5,2.0,0.3333333333333333,0.6666666666666666,0.5,1.0,previous_period
2025-01-26,9,5,2,2,3,3,2,20,26,16519.09,6.0,6.0,2753.181666666667,0.5555555555555556,0.4,1.0,0.3333333333333333,0.2222222222222222,1.5,previous_period
2025-01-27,10,7,6,7,6,5,4,25,45,5693.41,2.0,2.0,2846.705,0.7,0.8571428571428571,1.1666666666666667,0.6,0.4,0.7142857142857143,previous_period
2025-01-28,8,5,6,3,4,2,1,16,29,114.89,1.0,1.0,114.89,0.625,1.2,0.5,0.5,0.125,0.6666666666666666,previous_period
2025-02-01,7,7,4,5,6,2,2,17,33,19240.25,6.0,6.0,3206.7083333333335,1.0,0.5714285714285714,1.25,0.8571428571428571,0.2857142857142857,0.4,previous_period
2025-02-02,4,3,6,6,2,2,1,24,24,8420.64,3.0,3.0,2806.8799999999997,0.75,2.0,1.0,0.5,0.25,0.3333333333333333,previous_period
2025-02-03,13,8,4,5,6,5,4,25,45,9734.25,4.0,4.0,2433.5625,0.6153846153846154,0.5,1.25,0.46153846153846156,0.3076923076923077,1.0,previous_period
2025-02-04,8,2,1,3,3,1,2,17,20,4314.72,1.0,1.0,4314.72,0.25,0.5,3.0,0.375,0.25,0.3333333333333333,previous_period
2025-02-05,11,4,2,4,5,7,3,29,36,8617.66,4.0,4.0,2154.415,0.36363636363636365,0.5,2.0,0.45454545454545453,0.2727272727272727,1.75,previous_period
2025-02-06,8,4,1,0,4,0,5,20,22,9110.869999999999,4.0,4.0,2277.7174999999997,0.5,0.25,0.0,0.5,0.625,,previous_period
