platform,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
douyin,2025-01,62,59,82,42,31,25,18,0,161641.73,59,144,0.7560975609756098,0.6774193548387096,0.7380952380952381,0.7195121951219512,0.8064516129032258,0.21951219512195122,2739.690338983051
douyin,2025-02,42,42,72,28,24,21,19,0,135785.53,53,128,0.5833333333333334,0.6666666666666666,0.8571428571428571,0.5833333333333334,0.875,0.2638888888888889,2561.991132075472
douyin,2025-03,65,48,72,36,42,27,22,0,141533.06,58,146,0.9027777777777778,0.5538461538461539,1.1666666666666667,0.6666666666666666,0.6428571428571429,0.3055555555555556,2440.225172413793
douyin,2025-04,70,57,88,56,31,26,21,0,120286.61,50,120,0.7954545454545454,0.8,0.5535714285714286,0.6477272727272727,0.8387096774193549,0.23863636363636365,2405.7322
douyin,2025-05,52,46,75,36,26,22,27,0,180590.88,68,181,0.6933333333333334,0.6923076923076923,0.7222222222222222,0.6133333333333333,0.8461538461538461,0.36,2655.748235294118
douyin,2025-06,51,31,80,41,28,19,18,0,105119.47,40,100,0.6375,0.803921568627451,0.6829268292682927,0.3875,0.6785714285714286,0.225,2627.98675
douyin,2025-07,52,54,80,39,40,31,30,0,132135.99,52,134,0.65,0.75,1.0256410256410255,0.675,0.775,0.375,2541.0767307692304
douyin,2025-08,51,36,85,35,28,26,19,0,123536.96,48,116,0.6,0.6862745098039216,0.8,0.4235294117647059,0.9285714285714286,0.2235294117647059,2573.686666666667
douyin,2025-09,58,48,83,37,43,26,19,0,179095.2,75,186,0.6987951807228916,0.6379310344827587,1.162162162162162,0.5783132530120482,0.6046511627906976,0.2289156626506024,2387.936
douyin,2025-10,58,25,70,31,29,20,24,0,157045.78,56,135,0.8285714285714286,0.5344827586206896,0.9354838709677419,0.35714285714285715,0.6896551724137931,0.34285714285714286,2804.3889285714286
douyin,2025-11,62,39,79,38,42,27,19,0,85849.97,42,106,0.7848101265822784,0.6129032258064516,1.105263157894737,0.4936708860759494,0.6428571428571429,0.24050632911392406,2044.046904761905
douyin,2025-12,61,44,89,40,35,24,22,0,171524.3,66,167,0.6853932584269663,0.6557377049180327,0.875,0.4943820224719101,0.6857142857142857,0.24719101123595505,2598.85303030303
douyin,2026-01,51,42,77,28,30,18,20,0,150307.37,55,138,0.6623376623376623,0.5490196078431373,1.0714285714285714,0.5454545454545454,0.6,0.2597402597402597,2732.8612727272725
douyin,2026-02,61,50,91,49,34,29,22,0,122355.03,50,133,0.6703296703296703,0.8032786885245902,0.6938775510204082,0.5494505494505495,0.8529411764705882,0.24175824175824176,2447.1005999999998
douyin,2026-03,60,37,77,36,37,24,22,0,100857.23,46,118,0.7792207792207793,0.6,1.0277777777777777,0.4805194805194805,0.6486486486486487,0.2857142857142857,2192.5484782608696
douyin,2026-04,48,43,69,34,24,14,11,0,130732.37,50,123,0.6956521739130435,0.7083333333333334,0.7058823529411765,0.6231884057971014,0.5833333333333334,0.15942028985507245,2614.6474
