platform,category,total_gmv,total_impression,total_cart,total_order,total_payment,total_favorite,ctr,cvr,payment_rate,favorite_rate
douyin,图书文具,486371.73,259,171,118,99,136,0.6602316602316602,0.6900584795321637,0.8389830508474576,0.525096525096525
douyin,家居用品,387271.37,208,147,93,78,99,0.7067307692307693,0.6326530612244898,0.8387096774193549,0.47596153846153844
douyin,服装鞋帽,417056.61,202,144,91,69,106,0.7128712871287128,0.6319444444444444,0.7582417582417582,0.5247524752475248
douyin,母婴用品,389130.62,318,223,142,120,161,0.7012578616352201,0.6367713004484304,0.8450704225352113,0.5062893081761006
douyin,电子产品,430857.03,254,187,118,106,163,0.7362204724409449,0.6310160427807486,0.8983050847457628,0.6417322834645669
douyin,美妆个护,391574.02999999997,226,155,102,79,132,0.6858407079646017,0.6580645161290323,0.7745098039215687,0.584070796460177
douyin,运动户外,386080.68,185,137,89,83,127,0.7405405405405405,0.6496350364963503,0.9325842696629213,0.6864864864864865
douyin,食品饮料,442002.95,248,184,111,92,127,0.7419354838709677,0.6032608695652174,0.8288288288288288,0.5120967741935484
jd,图书文具,478817.77,198,154,131,121,125,0.7777777777777778,0.8506493506493507,0.9236641221374046,0.6313131313131313
jd,家居用品,392108.41,198,174,139,135,146,0.8787878787878788,0.7988505747126436,0.9712230215827338,0.7373737373737373
jd,服装鞋帽,397359.12,209,149,121,106,157,0.7129186602870813,0.8120805369127517,0.8760330578512396,0.7511961722488039
jd,母婴用品,352877.02,219,185,134,119,162,0.8447488584474886,0.7243243243243244,0.8880597014925373,0.7397260273972602
jd,电子产品,379139.77,158,107,93,84,96,0.6772151898734177,0.8691588785046729,0.9032258064516129,0.6075949367088608
jd,美妆个护,424324.74,224,183,150,130,143,0.8169642857142857,0.819672131147541,0.8666666666666667,0.6383928571428571
jd,运动户外,385637.92,199,167,114,102,143,0.8391959798994975,0.6826347305389222,0.8947368421052632,0.7185929648241206
jd,食品饮料,428916.99,178,158,124,108,134,0.8876404494382022,0.7848101265822784,0.8709677419354839,0.7528089887640449
taobao,图书文具,467593.61,245,170,93,84,130,0.6938775510204082,0.5470588235294118,0.9032258064516129,0.5306122448979592
taobao,家居用品,599372.17,235,163,108,83,129,0.6936170212765957,0.6625766871165644,0.7685185185185185,0.548936170212766
taobao,服装鞋帽,531829.16,142,95,83,64,103,0.6690140845070423,0.8736842105263158,0.7710843373493976,0.7253521126760564
taobao,母婴用品,705357.75,301,210,129,115,141,0.6976744186046512,0.6142857142857143,0.8914728682170543,0.4684385382059801
taobao,电子产品,549791.88,219,163,94,83,111,0.7442922374429224,0.5766871165644172,0.8829787234042553,0.5068493150684932
taobao,美妆个护,486446.89,241,170,121,103,137,0.7053941908713693,0.711764705882353,0.8512396694214877,0.5684647302904564
taobao,运动户外,596410.94,288,216,153,129,180,0.75,0.7083333333333334,0.8431372549019608,0.625
taobao,食品饮料,682610.28,304,222,159,136,188,0.7302631578947368,0.7162162162162162,0.8553459119496856,0.618421052631579
